Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
1263,BODY PRETO TULE E PEROLAS,UN,6,"45,00","414,00","369,00","89,13%"
1264,BLUSA PRETA CAVEIRA DOURADA,UN,3,"0,00","189,00","189,00","100,00%"
1265,PARKA CAROL PRETA,UN,1,"96,00","134,40","38,40","28,57%"
1267,T-SHIRTS,UN,14,"362,60","794,70","432,10","54,37%"
1269,BLUSA DA CRUZ,UN,1,"0,00","29,90","29,90","100,00%"
1270,SHORT SOCIAL ESTAMPADO AZUL MARINHO,UN,1,"20,00","79,90","59,90","74,96%"
1274,VESTIDO 1 OMBRO SÓ COM PLACA DOURADA,UN,1,"0,00","146,00","146,00","100,00%"
1276,CAMISA MALHA CANELADA BRANCA ALONGADA,UN,3,"60,00","250,40","190,40","76,03%"
01277,CAMISA FLORAL GELO CHOKER,UN,1,"45,00","94,50","49,50","52,38%"
1277,CALÇA BENGALINE FLAIRE,UN,4,"45,00","312,00","267,00","85,57%"
1282,REGATA PAETE,UN,1,"0,00","107,70","107,70","100,00%"
1283,BLUSA PELINHO,UN,1,"35,00","75,00","40,00","53,33%"
1284,BLUSA MC ABERTURA,UN,3,"152,90","458,70","305,80","66,66%"
1288,REGATA COM RENDA,UN,1,"0,00","24,90","24,90","100,00%"
1290,PIERCING FABIANO AMORIM,UN,3,"16,50","39,80","23,30","58,54%"
1292,CROPPED BRANCO REND,'',1,"45,00","135,00","90,00","66,66%"
1296,REGATA CIGANINHA CM BOJO E RENDA NA MANGA,UN,2,"90,00","257,40","167,40","65,03%"
001299,BLUSA CANELADA SEM MANGA,UN,7,"29,90","481,01","451,11","93,78%"
1299,CARDIGA,UN,7,"0,00","343,58","343,58","100,00%"
1302,REGATA LINHO OFF WHITE,UN,1,"25,00","75,00","50,00","66,66%"
1304,BLUSA TIGRE NEON,UN,4,"0,00","188,00","188,00","100,00%"
1306,BLUSA COM ONÇA COSTAS,UN,1,"0,00","84,00","84,00","100,00%"
1307,VESTIDO DETALHE DOURADO,UN,4,"0,00","299,69","299,69","100,00%"
01310,VESTIDO ESTAMPADO,UN,1,"30,00","93,00","63,00","67,74%"
1310,CASACO,UN,5,"0,00","572,30","572,30","100,00%"
1312,BLUSA ONÇA TRANSPARENTE C/ MAQUINA,UN,2,"0,00","126,00","126,00","100,00%"
1313,BODY,UN,2,"0,00","54,90","54,90","100,00%"
1316,VESTIDO TUBINHO VERMELHO,UN,1,"0,00","78,00","78,00","100,00%"
1318,CAMISETE TODO RENDADO ESTAMPADO,UN,1,"0,00","128,70","128,70","100,00%"
1319,VESTIDO ONÇA,UN,1,"0,00","78,00","78,00","100,00%"
1320,BLUSA LINHO,UN,1,"53,90","113,90","60,00","52,67%"
1321,BLAZER,UN,1,"35,00","59,90","24,90","41,56%"
1325,CAMISA ROSE COM TULE POÁ MANGA,UN,1,"45,00","123,55","78,55","63,57%"
1332,BLUSA NOTOES PUNHO,UN,1,"38,10","79,90","41,80","52,31%"
1333,REGATA ALÇA,UN,1,"39,90","119,90","80,00","66,72%"
1348,BLUSA DECOTE TRA,UN,1,"40,90","114,56","73,66","64,29%"
1350,CASACO,UN,1,"0,00","160,95","160,95","100,00%"
1356,CASACO,UN,3,"0,00","381,81","381,81","100,00%"
1360,REGATA FRENTE,UN,1,"41,90","128,70","86,80","67,44%"
01370,REGATA DE BICHO,UN,6,"118,80","245,40","126,60","51,58%"
01371,REGATA DE VISCOSE RAYON,UN,3,"94,50","137,79","43,29","31,41%"
01373,REGATA BOLINHA C/ RENDA,UN,1,"31,52","63,00","31,48","49,96%"
1375,CARDIGÃ ONÇA,UN,1,"0,00","84,00","84,00","100,00%"
001399,BLUSA PINK,UN,9,"39,90","567,55","527,65","92,96%"
01401,CASACO MILITAR,UN,1,"75,90","163,10","87,20","53,46%"
1402,CROPPED CAMISA ESTAMPADA FLORAL,UN,1,"40,00","120,00","80,00","66,66%"
01403,CASACO PRETO MOUSSE,UN,1,"85,90","161,20","75,30","46,71%"
1404,BLUSA,UN,2,"0,00","203,40","203,40","100,00%"
1405,BLUSA,UN,1,"0,00","87,00","87,00","100,00%"
1407,CONJUNTO XADEZ DETALHES CORINO DESMENBRADO,UN,3,"90,00","239,80","149,80","62,46%"
1410,BLUSA,UN,1,"0,00","107,25","107,25","100,00%"
1414,BLUSA,UN,2,"108,62","207,29","98,67","47,59%"
1415,SHORT ROSA DESFIADO,UN,1,"44,95","95,40","50,45","52,88%"
1418,BLUSA,UN,1,"0,00","78,08","78,08","100,00%"
1419,SHORT CLARO COM PEDRA DE ENFEITE,UN,2,"99,80","222,60","122,80","55,16%"
01424,CALÇA MASC. JOGGER,UN,1,"87,90","149,85","61,95","41,34%"
1424,BLUSA,UN,1,"0,00","59,40","59,40","100,00%"
01426,CALÇA MASC.,UN,1,"104,90","189,90","85,00","44,76%"
1426,SHORT JEANS CO LAVAGEM CLARA,UN,2,"79,90","222,58","142,68","64,10%"
01428,BRINCO,UN,1,"14,00","29,90","15,90","53,17%"
1429,BODY,UN,19,"0,00","2.272,94","2.272,94","100,00%"
1437,BLUSA,UN,1,"0,00","93,00","93,00","100,00%"
1440,BLUSA,UN,2,"0,00","186,00","186,00","100,00%"
1441,CALÇA PLUS,UN,1,"47,52","99,90","52,38","52,43%"
1444,BLUSA,UN,1,"0,00","56,70","56,70","100,00%"
1445,BODY LISO,UN,6,"0,00","649,09","649,09","100,00%"
001449,BLUSA GIRAFA TRANSPARENTE,UN,1,"0,00","60,00","60,00","100,00%"
1449,BLUSA TRAPUS,UN,2,"0,00","221,90","221,90","100,00%"
1457,BLUSA,UN,2,"0,00","242,77","242,77","100,00%"
1459,SHORT SAIA,UN,1,"0,00","96,60","96,60","100,00%"
1460,MOLETOM ALL THINGS,UN,4,"122,90","256,06","133,16","52,00%"
1470,SHORTS ASSIMETRICO,UN,3,"46,50","243,10","196,60","80,87%"
1471,CROPPED SOCIAL BEGE CO PRETO MANGA FLARE,UN,1,"50,00","90,00","40,00","44,44%"
1473,SHORT SAIA,UN,2,"0,00","193,20","193,20","100,00%"
1474,BLAZER,UN,1,"0,00","160,50","160,50","100,00%"
1475,BLUSA HAPPINESS,UN,1,"39,90","79,90","40,00","50,06%"
1476,BLAZER,UN,2,"0,00","321,00","321,00","100,00%"
1477,SHORT SAIA AMARELO,UN,1,"49,95","40,00","-9,95","-24,87%"
1481,SHORT MEIA COXA,UN,1,"49,95","39,89","-10,06","-25,21%"
1488,BLUSA BICHO,UN,3,"0,00","306,08","306,08","100,00%"
1489,SHORT BABADO,UN,12,"0,00","1.199,97","1.199,97","100,00%"
1494,BLUSA,UN,2,"0,00","253,20","253,20","100,00%"
1499,CASACO MOLETON MANGA COURO,UN,2,"94,00","193,32","99,32","51,37%"
001499,BLUSA,UN,1,"0,00","99,00","99,00","100,00%"
01500,REGATA DE VISCOSE C/ GRIPIR,UN,4,"115,20","221,41","106,21","47,96%"
1501,BLUSA THINGS,UN,1,"39,90","72,00","32,10","44,58%"
1502,CASACO VISCO ESTAMPADA C/ ZIPER,UN,2,"86,40","133,90","47,50","35,47%"
1505,REGATA LISA,UN,4,"0,00","226,80","226,80","100,00%"
1508,SAIA LONGA,UN,2,"0,00","243,30","243,30","100,00%"
1509,MACAQUINHO,UN,1,"0,00","161,10","161,10","100,00%"
1510,BLUSA LA MODE,UN,4,"69,90","300,75","230,85","76,75%"
1512,MACAQUINHO,UN,1,"61,20","85,66","24,46","28,55%"
1513,SHORTS SAIA,UN,2,"0,00","209,43","209,43","100,00%"
